交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2020-02-28 23:43:59,日常开销,超市🏪日常购,,人民币,CNY,375.00,,,补给用品,
支出,2020-02-28 21:52:49,日常开销,咖啡☕️小食,,港币,HKD,7.00,,,,
支出,2020-02-28 12:50:27,日常开销,在外吃饭,,人民币,CNY,43.00,,,,
支出,2020-02-28 12:44:56,日常开销,咖啡☕️小食,,人民币,CNY,14.50,,,辣条 巧克力,
支出,2020-02-27 23:16:12,日常开销,在外吃饭,,人民币,CNY,36.00,,,米线，难吃,
支出,2020-02-27 20:16:08,日常开销,咖啡☕️小食,,港币,HKD,50.00,,,,
支出,2020-02-27 13:29:01,日常开销,快递,,人民币,CNY,57.00,,,,
支出,2020-02-27 13:00:04,日常开销,在外吃饭,,人民币,CNY,21.00,,,面包🥯,
支出,2020-02-27 12:46:17,日常开销,在外吃饭,,人民币,CNY,44.00,,,卖积极,
支出,2020-02-26 21:08:19,日常开销,在外吃饭,,人民币,CNY,43.00,,,,
支出,2020-02-26 15:37:19,日常开销,咖啡☕️小食,,港币,HKD,24.40,,,,
支出,2020-02-26 15:26:09,日常开销,咖啡☕️小食,,人民币,CNY,46.00,,,奶茶面包浪一把,
支出,2020-02-26 13:25:08,住🏠行🚗,打车出行,,人民币,CNY,20.00,,,,
支出,2020-02-26 13:24:56,住🏠行🚗,深港往返,,港币,HKD,370.00,,,打的,
收入,2020-02-26 09:42:20,老婆,培养国家栋梁,,港币,HKD,64750.00,,,,
支出,2020-02-26 08:43:58,老公老婆,衣服,,港币,HKD,307.00,,,,
支出,2020-02-26 08:43:35,日常开销,超市🏪日常购,,人民币,CNY,280.00,,,,
支出,2020-02-25 19:51:20,日常开销,街市菜蔬肉,,港币,HKD,99.00,,,英俊哥,
支出,2020-02-25 19:51:14,日常开销,街市菜蔬肉,,港币,HKD,16.00,,,牛奶🥛,
支出,2020-02-24 18:50:01,日常开销,街市菜蔬肉,,人民币,CNY,34.75,,,,
支出,2020-02-24 18:49:30,日常开销,咖啡☕️小食,,人民币,CNY,32.00,,,,
支出,2020-02-24 14:24:54,日常开销,超市🏪日常购,,人民币,CNY,280.00,,,,
支出,2020-02-23 13:17:49,老公老婆,化妆品,,港币,HKD,291.00,,,,
支出,2020-02-23 12:34:04,日常开销,在外吃饭,,港币,HKD,64.00,,,,
支出,2020-02-23 11:50:40,日常开销,超市🏪日常购,,港币,HKD,180.40,,,学校超市,
支出,2020-02-22 21:39:04,老公老婆,衣服,,人民币,CNY,527.00,,,,
支出,2020-02-22 20:51:07,大锤大过1,托人照顾🐱,,港币,HKD,210.00,,,,
支出,2020-02-22 20:50:50,日常开销,咖啡☕️小食,,港币,HKD,37.00,,,,
支出,2020-02-22 20:05:13,日常开销,在外吃饭,,港币,HKD,33.00,,,两个傻逼 吃蛋糕,
支出,2020-02-22 15:27:00,日常开销,超市🏪日常购,,人民币,CNY,500.00,,,天猫 日用品,
支出,2020-02-22 13:02:26,日常开销,街市菜蔬肉,,人民币,CNY,247.00,,,,
支出,2020-02-21 18:50:38,日常开销,在外吃饭,,港币,HKD,58.00,,,,
支出,2020-02-21 18:50:26,日常开销,咖啡☕️小食,,港币,HKD,20.00,,,,
支出,2020-02-21 18:50:15,日常开销,街市菜蔬肉,,港币,HKD,124.60,,,,
支出,2020-02-20 21:15:19,日常开销,咖啡☕️小食,,港币,HKD,4.50,,,,
支出,2020-02-20 21:15:13,日常开销,在外吃饭,,港币,HKD,87.00,,,,
支出,2020-02-20 14:14:21,老公老婆,衣服,,人民币,CNY,620.00,,,,
支出,2020-02-20 11:56:36,日常开销,在外吃饭,,港币,HKD,73.50,,,,
